,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.data-container-id,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
59,9,IMG,24.0,DIV.Y6VDGc,,74.0,76.0,/html/body/div[1]/div/div/a/div[1]/div/img,33.5,,,1652158186854,,,,,,,,,,,,G4kT1b,,,,,,Google Shopping,1,0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI3NCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDc0IDI0Ij48cGF0aCBmaWxsPSIjNDI4NUY0IiBkPSJNOS4yNCA4LjE5djIuNDZoNS44OGMtLjE4IDEuMzgtLjY0IDIuMzktMS4zNCAzLjEtLjg2Ljg2LTIuMiAxLjgtNC41NCAxLjgtMy42MiAwLTYuNDUtMi45Mi02LjQ1LTYuNTRzMi44My02LjU0IDYuNDUtNi41NGMxLjk1IDAgMy4zOC43NyA0LjQzIDEuNzZMMTUuNCAyLjVDMTMuOTQgMS4wOCAxMS45OCAwIDkuMjQgMCA0LjI4IDAgLjExIDQuMDQuMTEgOXM0LjE3IDkgOS4xMyA5YzIuNjggMCA0LjctLjg4IDYuMjgtMi41MiAxLjYyLTEuNjIgMi4xMy0zLjkxIDIuMTMtNS43NSAwLS41Ny0uMDQtMS4xLS4xMy0xLjU0SDkuMjR6Ii8+PHBhdGggZmlsbD0iI0VBNDMzNSIgZD0iTTI1IDYuMTljLTMuMjEgMC01LjgzIDIuNDQtNS44MyA1LjgxIDAgMy4zNCAyLjYyIDUuODEgNS44MyA1LjgxczUuODMtMi40NiA1LjgzLTUuODFjMC0zLjM3LTIuNjItNS44MS01LjgzLTUuODF6bTAgOS4zM2MtMS43NiAwLTMuMjgtMS40NS0zLjI4LTMuNTIgMC0yLjA5IDEuNTItMy41MiAzLjI4LTMuNTJzMy4yOCAxLjQzIDMuMjggMy41MmMwIDIuMDctMS41MiAzLjUyLTMuMjggMy41MnoiLz48cGF0aCBmaWxsPSIjNDI4NUY0IiBkPSJNNTMuNTggNy40OWgtLjA5Yy0uNTctLjY4LTEuNjctMS4zLTMuMDYtMS4zQzQ3LjUzIDYuMTkgNDUgOC43MiA0NSAxMmMwIDMuMjYgMi41MyA1LjgxIDUuNDMgNS44MSAxLjM5IDAgMi40OS0uNjIgMy4wNi0xLjMyaC4wOXYuODFjMCAyLjIyLTEuMTkgMy40MS0zLjEgMy40MS0xLjU2IDAtMi41My0xLjEyLTIuOTMtMi4wN2wtMi4yMi45MmMuNjQgMS41NCAyLjMzIDMuNDMgNS4xNSAzLjQzIDIuOTkgMCA1LjUyLTEuNzYgNS41Mi02LjA1VjYuNDloLTIuNDJ2MXptLTIuOTMgOC4wM2MtMS43NiAwLTMuMS0xLjUtMy4xLTMuNTIgMC0yLjA1IDEuMzQtMy41MiAzLjEtMy41MiAxLjc0IDAgMy4xIDEuNSAzLjEgMy41NC4wMSAyLjAzLTEuMzYgMy41LTMuMSAzLjV6Ii8+PHBhdGggZmlsbD0iI0ZCQkMwNSIgZD0iTTM4IDYuMTljLTMuMjEgMC01LjgzIDIuNDQtNS44MyA1LjgxIDAgMy4zNCAyLjYyIDUuODEgNS44MyA1LjgxczUuODMtMi40NiA1LjgzLTUuODFjMC0zLjM3LTIuNjItNS44MS01LjgzLTUuODF6bTAgOS4zM2MtMS43NiAwLTMuMjgtMS40NS0zLjI4LTMuNTIgMC0yLjA5IDEuNTItMy41MiAzLjI4LTMuNTJzMy4yOCAxLjQzIDMuMjggMy41MmMwIDIuMDctMS41MiAzLjUyLTMuMjggMy41MnoiLz48cGF0aCBmaWxsPSIjMzRBODUzIiBkPSJNNTggLjI0aDIuNTF2MTcuNTdINTh6Ii8+PHBhdGggZmlsbD0iI0VBNDMzNSIgZD0iTTY4LjI2IDE1LjUyYy0xLjMgMC0yLjIyLS41OS0yLjgyLTEuNzZsNy43Ny0zLjIxLS4yNi0uNjZjLS40OC0xLjMtMS45Ni0zLjctNC45Ny0zLjctMi45OSAwLTUuNDggMi4zNS01LjQ4IDUuODEgMCAzLjI2IDIuNDYgNS44MSA1Ljc2IDUuODEgMi42NiAwIDQuMi0xLjYzIDQuODQtMi41N2wtMS45OC0xLjMyYy0uNjYuOTYtMS41NiAxLjYtMi44NiAxLjZ6bS0uMTgtNy4xNWMxLjAzIDAgMS45MS41MyAyLjIgMS4yOGwtNS4yNSAyLjE3YzAtMi40NCAxLjczLTMuNDUgMy4wNS0zLjQ1eiIvPjwvc3ZnPg==",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,9,SPAN,17.0,DIV.Y6VDGc,Shopping,96.984375,150.0,/html/body/div[1]/div/div/a/div[1]/div/span,35.5,,,,,,,,,,,,,,,rprnAe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,7,DIV,0.0,A.Srajv,Shopping,0.0,0.0,/html/body/div[1]/div/div/a/div[2],0.0,,,,,,,,,,,,,,,BITopc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8,SPAN,0.0,DIV.BITopc,Shopping,0.0,0.0,/html/body/div[1]/div/div/a/div[2]/span,0.0,,,,,,,,,,,,,,,rprnAe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,DIV,50.0,DIV.FyLmIf,SearchSearch ShoppingSearch Google Shopping,600.015625,246.984375,/html/body/div[1]/div/div/div[2],20.0,,,,,,,,,,,,,,,IH1Rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,7,DIV,50.0,DIV.IH1Rb,SearchSearch ShoppingSearch Google Shopping,536.015625,278.984375,/html/body/div[1]/div/div/div[2]/div,20.0,,,,,,,,,,,,,,,QfjlV sh-h__outline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8,DIV,48.0,DIV.QfjlV.sh-h__outline,SearchSearch ShoppingSearch Google Shopping,534.015625,279.984375,/html/body/div[1]/div/div/div[2]/div/div[1],21.0,,,,,,,,,,,,,,,sh-h__top-line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,9,DIV,40.0,DIV.sh-h__top-line,,40.0,287.984375,/html/body/div[1]/div/div/div[2]/div/div[1]/div,25.0,,,,,,,,,,,,,,,JPyEdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9,FORM,48.0,DIV.sh-h__top-line,SearchSearch ShoppingSearch Google Shopping,482.015625,331.984375,//*[@id='sh-h-input__root'],21.0,,,,,,,,,,,,,nxyUGf,,,,,,,,,,,,/search,off,sh-h-input__root,,,,,,,,,,,,,,,,,,,,,,,,,,
68,10,SPAN,17.0,FORM#sh-h-input__root,SearchSearch ShoppingSearch Google Shopping,0.0,339.984375,//*[@id='sh-h-input__root']/span,36.5,,,,,,,,,,,,,,display:,sh-h-input__hint-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,11,SPAN,0.0,SPAN.sh-h-input__hint-text,Search,0.0,0.0,//*[@id='sh-h-input__root']/span/span[1],0.0,,,,,,,,,,,,,,,BQ6Brc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,11,SPAN,0.0,SPAN.sh-h-input__hint-text,Search Shopping,0.0,0.0,//*[@id='sh-h-input__root']/span/span[2],0.0,,,,,,,,,,,,,,,y3zjAe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,11,SPAN,17.0,SPAN.sh-h-input__hint-text,Search Google Shopping,178.796875,339.984375,//*[@id='sh-h-input__root']/span/span[3],36.5,,,,,,,,,,,,,,,s688Df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,10,INPUT,0.0,FORM#sh-h-input__root,,0.0,0.0,//*[@id='sh-h-input__root']/input[1],0.0,,output,,,,,hidden,,,,,,,,,,,,,,,,,,,,,search,,,,,,,,,,,,,,,,,,,,,,,,,
73,10,INPUT,0.0,FORM#sh-h-input__root,,0.0,0.0,//*[@id='sh-h-input__root']/input[2],0.0,,tbm,,,,,hidden,,,,,,,,,,,,,,,,,,,,,shop,,,,,,,,,,,,,,,,,,,,,,,,,
74,10,INPUT,48.0,FORM#sh-h-input__root,,466.015625,339.984375,//*[@id='sh-h-input__root']/input[3],21.0,,q,,,,,,,,,,input:d3sQLd;focus:dFyQEf;blur:jI3wzf;keydown:VKssTb;paste:puy29d,,,sh-h-input__search-form,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q6MsFCBE,,,,,,,,,,off,,,off,off,,,,,,,,,,,,,,,,,,,,,,,
75,9,BUTTON,0.0,DIV.sh-h__top-line,,0.0,0.0,//*[@id='sh-h-clear__root'],0.0,,,,,,,,,,,,AVsnlb,NHwMWe,,sjskA EuoZmf sh-h-clear__hidden JdXsAe tpFG9c,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q4csFCBI,,,,,,,,,,,sh-h-clear__root,,,,,,,,,,,,,,,,,,,,,,,,,,
76,10,DIV,0.0,BUTTON#sh-h-clear__root.sjskA.EuoZmf.sh-h-clear__hidden.JdXsAe.tpFG9c,,0.0,0.0,//*[@id='sh-h-clear__root']/div,0.0,,,,,,,,,,,,,,,k3rnz,,Clear Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,8,DIV,0.0,DIV.QfjlV.sh-h__outline,,534.015625,279.984375,//*[@id='sh-h-suggest__root'],69.0,,,,,,,,,,,,,fMDo3,,,,,,,,,,,,,,sh-h-suggest__root,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,DIV,48.0,DIV.FyLmIf,0Sign in,180.0,847.0,/html/body/div[1]/div/div/div[3],20.0,,,,,,,,,,,,,,,sh-h__rc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7,DIV,24.0,DIV.sh-h__rc,0,24.0,847.0,/html/body/div[1]/div/div/div[3]/div[1],32.0,,,,,,,,,,,,,,,qNm0Qd,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
80,8,DIV,40.0,DIV.qNm0Qd,0,24.0,847.0,/html/body/div[1]/div/div/div[3]/div[1]/div,24.0,,,,,,,,,,,,,,visibility: visible;,PEME7 sh-sci__cart-icon,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
81,9,A,40.0,DIV.PEME7.sh-sci__cart-icon,0,40.0,839.0,/html/body/div[1]/div/div/div[3]/div[1]/div/a,24.0,,,,https://shopping.google.com/u/0/cart?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Qz68DCBM,,,,,,,,,,,SMV6Nd JdXsAe tpFG9c,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
82,10,SPAN,24.0,A.SMV6Nd.JdXsAe.tpFG9c,0,24.0,847.0,/html/body/div[1]/div/div/div[3]/div[1]/div/a/span,32.0,,,,,,,,,,,,,,,PqBvCe,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
83,11,DIV,16.0,SPAN.PqBvCe,0,16.0,857.0,/html/body/div[1]/div/div/div[3]/div[1]/div/a/span/div,28.0,,,,,,,,,,,,,,visibility: hidden;,sh-sci__total-count PEME7,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
84,12,DIV,16.0,DIV.sh-sci__total-count.PEME7,0,16.0,857.0,/html/body/div[1]/div/div/div[3]/div[1]/div/a/span/div/div,28.0,,,,,,,,,,,,,,,sh-sci__badge,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
85,7,DIV,48.0,DIV.sh-h__rc,Sign in,180.0,847.0,/html/body/div[1]/div/div/div[3]/div[2],20.0,,,,,,,,,,,,,,,sh-h-og__root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,8,DIV,48.0,DIV.sh-h-og__root,Sign in,180.0,847.0,//*[@id='gb'],20.0,,,,,,,,,,,,,,,gb_na gb_Zd gb_2a gb_oa,,,,,,,,,,,,gb,,,,,,,,,,,,,,,,,,,,,,,,,,
87,9,DIV,48.0,DIV#gb.gb_na.gb_Zd.gb_2a.gb_oa,Sign in,180.0,847.0,//*[@id='gb']/div,20.0,,,,,,,,,,,,,,,gb_Wd gb_Za gb_Ld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,10,DIV,48.0,DIV.gb_Wd.gb_Za.gb_Ld,Sign in,144.0,879.0,//*[@id='gb']/div/div[1],20.0,,,,,,,,,,,,,,,gb_Se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,11,DIV,15.0,DIV.gb_Se,,48.0,879.0,//*[@id='gb']/div/div[1]/div,35.4375,,,,,,,,,,,,,,,gb_Tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,12,DIV,48.0,DIV.gb_Tc,,48.0,879.0,//*[@id='gbwa'],20.0,,,,,,,,,,,,,,,gb_z gb_hd gb_f gb_Af,,,,,,,,,,,,gbwa,,,,,,,true,,,,,,,,,,,,,,,,,,,
91,13,DIV,40.0,DIV#gbwa.gb_z.gb_hd.gb_f.gb_Af,,40.0,883.0,//*[@id='gbwa']/div,24.0,,,,,,,,,,,,,,,gb_zf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,14,A,40.0,DIV.gb_zf,,40.0,883.0,//*[@id='gbwa']/div/a,24.0,,,,https://www.google.com/intl/en/about/products?tab=fh,,,,,,,,,,,gb_A,,Google apps,,button,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,
93,15,svg,24.0,A.gb_A,,24.0,891.0,//*[@id='gbwa']/div/a/svg,32.0,,,,,,,,,,,,,,,gb_Ve,,,,,,,,,,,,,,,,,,,,,false,0 0 24 24,,,,,,,,,,,,,,,,
94,11,A,36.0,DIV.gb_Se,Sign in,80.0,935.0,//*[@id='gb']/div/div[1]/a,26.0,,,,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/shopping/product/7122385092484492284/offers%3Fprds%3Dcond:1&ec=GAZABg,,,,,,,,,,,gb_1 gb_2 gb_9d gb_9c,,,,,,,,,,,,,,,,,,,,,,,_top,,,,,,,,,,,,,,,
95,10,DIV,0.0,DIV.gb_Wd.gb_Za.gb_Ld,,328.0,695.0,//*[@id='gb']/div/div[2],77.0,,,,,,,,,,,,,,overflow: hidden; position: absolute; top: 0px; visibility: hidden; width: 328px; z-index: 991; height: 0px; margin-top: 57px; transition: height 0.3s ease-in-out 0s; right: 0px; margin-right: 4px;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,DIV,0.0,BODY,,1035.0,0.0,//*[@id='ssave'],89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ssave,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,DIV,37.0,BODY,"About these resultsUnless otherwise indicated, items are ranked based on relevance, including your search terms and other Google activity.   Learn more about managing how your experience is personalized. Some ads data, including your and other users’ interactions with ads, is used to improve the quality of the results. Google is not compensated for clicks into these results.Items you can buy on Google are indicated by the cart icon. Google may receive a commission for the purchase of these items.   Learn more about Google Shopping.",139.296875,890.703125,/html/body/div[3],89.0,,,,,,,,,,,,,,,rgfi3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4,DIV,17.0,DIV.rgfi3e,"About these resultsUnless otherwise indicated, items are ranked based on relevance, including your search terms and other Google activity.   Learn more about managing how your experience is personalized. Some ads data, including your and other users’ interactions with ads, is used to improve the quality of the results. Google is not compensated for clicks into these results.Items you can buy on Google are indicated by the cart icon. Google may receive a commission for the purchase of these items.   Learn more about Google Shopping.",127.296875,896.703125,/html/body/div[3]/div,99.0,,,,,,,,,,,,,,,pHHuId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5,DIV,17.0,DIV.pHHuId,"About these resultsUnless otherwise indicated, items are ranked based on relevance, including your search terms and other Google activity.   Learn more about managing how your experience is personalized. Some ads data, including your and other users’ interactions with ads, is used to improve the quality of the results. Google is not compensated for clicks into these results.Items you can buy on Google are indicated by the cart icon. Google may receive a commission for the purchase of these items.   Learn more about Google Shopping.",127.296875,896.703125,/html/body/div[3]/div/div,99.0,,,,,,,,,,,,trigger.OedDfb,,,OgTjVe,,,,button,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,DIV,12.0,DIV.OgTjVe,,12.0,1012.0,/html/body/div[3]/div/div/div[1],102.0,,,,,,,,,,,,,,background-image:url(/images/nav_logo321.webp);background-repeat:no-repeat;background-position:-107px -99px;height:12px;width:12px;display:inline-block,tO9XE,,More info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,DIV,0.0,DIV.OgTjVe,"Unless otherwise indicated, items are ranked based on relevance, including your search terms and other Google activity.   Learn more about managing how your experience is personalized. Some ads data, including your and other users’ interactions with ads, is used to improve the quality of the results. Google is not compensated for clicks into these results.Items you can buy on Google are indicated by the cart icon. Google may receive a commission for the purchase of these items.   Learn more about Google Shopping.",0.0,0.0,/html/body/div[3]/div/div/div[2],0.0,,,,,,,,,,,,,,display:none,internal-link pp-bubble-cont,,,,,,,,,,,,,,,,,,,,,,,,right,pdp-sponsored-info,sg-product__pdp-container,,,,,,,,,,,,
102,7,P,0.0,DIV.internal-link.pp-bubble-cont,"Unless otherwise indicated, items are ranked based on relevance, including your search terms and other Google activity.   Learn more about managing how your experience is personalized. Some ads data, including your and other users’ interactions with ads, is used to improve the quality of the results. Google is not compensated for clicks into these results.",0.0,0.0,/html/body/div[3]/div/div/div[2]/p[1],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,8,A,0.0,P,Learn more,0.0,0.0,/html/body/div[3]/div/div/div[2]/p[1]/a,0.0,,,,https://support.google.com/googleshopping/answer/9116422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,7,P,0.0,DIV.internal-link.pp-bubble-cont,Items you can buy on Google are indicated by the cart icon. Google may receive a commission for the purchase of these items.   Learn more about Google Shopping.,0.0,0.0,/html/body/div[3]/div/div/div[2]/p[2],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8,A,0.0,P,Learn more,0.0,0.0,/html/body/div[3]/div/div/div[2]/p[2]/a,0.0,,,,https://support.google.com/googleshopping/answer/9128904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,DIV,1259.0,BODY,"Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces(4)NearbyBuy on GoogleFree deliveryNewRefurbished / usedSold byDetails & special offersItem priceTotal priceeBayOpens in a new window5 more offersHide offers$5.84 deliveryLOW PRICE$14.00$21.03Item price$14.00Shipping$5.84Est. taxEstimated Tax$1.19Total price$21.03Visit siteOpens in a new windowtruegether.com/user/433433.htmlOpens in a new windowFree delivery$19.59$19.59Item price$19.59Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.59Visit siteOpens in a new windowWalmart - Redi-FestOpens in a new windowFree delivery$24.99$26.49Item price$24.99Shipping$0.00Est. taxEstimated Tax$1.50Total price$26.49Visit siteOpens in a new windowBonanza - Xperts-Bonanza MallOpens in a new windowFree delivery$19.99$21.19Item price$19.99Shipping$0.00Est. taxEstimated Tax$1.20Total price$21.19Visit siteOpens in a new windoweCrater - xpertsedgeOpens in a new windowFree delivery$19.99$19.99Item price$19.99Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.99Visit siteOpens in a new windowZabiva.comOpens in a new windowFree deliveryApply SAVE225% OFF$20.56$21.79Item price$20.56Shipping$0.00Est. taxEstimated Tax$1.23Total price$21.79Visit siteOpens in a new windowmyBitti.comOpens in a new windowFree delivery by Tue, May 17$23.49$24.90Item price$23.49Shipping$0.00Est. taxEstimated Tax$1.41Total price$24.90Visit siteOpens in a new windowReport a listingRelated items$34.61Saltworks Ultra Epsom Premium ...(38)$18.99Foot Cure Tea Tree Oil Foot ...$29.08Epsom Salt by Sky Organics (5 ...$23.27Westlab Bathing Salts - Recover ...(62)$24.00Vertly Bath Salts(32)$7.00Westlab Dead Sea Salt 1kg(279)$5.75Sweat Esthetic Feeling Relax ...(1)$3.99Epsoak Naturals Collection ...(20)$9.00Lord Jones Single-Serve Formula ...(100)$21.11Tea Tree Oil Foot Soak with ...Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",1035.0,0.0,//*[@id='AGcbBb'],113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,AGcbBb,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,DIV,0.0,DIV#AGcbBb,,0.0,1035.0,//*[@id='AGcbBb']/div[1],113.0,,,,,,,,,,,,,,,XeBsS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4,DIV,1259.0,DIV#AGcbBb,"Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces(4)NearbyBuy on GoogleFree deliveryNewRefurbished / usedSold byDetails & special offersItem priceTotal priceeBayOpens in a new window5 more offersHide offers$5.84 deliveryLOW PRICE$14.00$21.03Item price$14.00Shipping$5.84Est. taxEstimated Tax$1.19Total price$21.03Visit siteOpens in a new windowtruegether.com/user/433433.htmlOpens in a new windowFree delivery$19.59$19.59Item price$19.59Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.59Visit siteOpens in a new windowWalmart - Redi-FestOpens in a new windowFree delivery$24.99$26.49Item price$24.99Shipping$0.00Est. taxEstimated Tax$1.50Total price$26.49Visit siteOpens in a new windowBonanza - Xperts-Bonanza MallOpens in a new windowFree delivery$19.99$21.19Item price$19.99Shipping$0.00Est. taxEstimated Tax$1.20Total price$21.19Visit siteOpens in a new windoweCrater - xpertsedgeOpens in a new windowFree delivery$19.99$19.99Item price$19.99Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.99Visit siteOpens in a new windowZabiva.comOpens in a new windowFree deliveryApply SAVE225% OFF$20.56$21.79Item price$20.56Shipping$0.00Est. taxEstimated Tax$1.23Total price$21.79Visit siteOpens in a new windowmyBitti.comOpens in a new windowFree delivery by Tue, May 17$23.49$24.90Item price$23.49Shipping$0.00Est. taxEstimated Tax$1.41Total price$24.90Visit siteOpens in a new windowReport a listingRelated items$34.61Saltworks Ultra Epsom Premium ...(38)$18.99Foot Cure Tea Tree Oil Foot ...$29.08Epsom Salt by Sky Organics (5 ...$23.27Westlab Bathing Salts - Recover ...(62)$24.00Vertly Bath Salts(32)$7.00Westlab Dead Sea Salt 1kg(279)$5.75Sweat Esthetic Feeling Relax ...(1)$3.99Epsoak Naturals Collection ...(20)$9.00Lord Jones Single-Serve Formula ...(100)$21.11Tea Tree Oil Foot Soak with ...Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container'],113.0,,,,,,,,,,,,,,,sg-product__dpdp-c,,,,,,,,,,,,sg-product__pdp-container,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,DIV,1259.0,DIV#sg-product__pdp-container.sg-product__dpdp-c,"Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces(4)NearbyBuy on GoogleFree deliveryNewRefurbished / usedSold byDetails & special offersItem priceTotal priceeBayOpens in a new window5 more offersHide offers$5.84 deliveryLOW PRICE$14.00$21.03Item price$14.00Shipping$5.84Est. taxEstimated Tax$1.19Total price$21.03Visit siteOpens in a new windowtruegether.com/user/433433.htmlOpens in a new windowFree delivery$19.59$19.59Item price$19.59Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.59Visit siteOpens in a new windowWalmart - Redi-FestOpens in a new windowFree delivery$24.99$26.49Item price$24.99Shipping$0.00Est. taxEstimated Tax$1.50Total price$26.49Visit siteOpens in a new windowBonanza - Xperts-Bonanza MallOpens in a new windowFree delivery$19.99$21.19Item price$19.99Shipping$0.00Est. taxEstimated Tax$1.20Total price$21.19Visit siteOpens in a new windoweCrater - xpertsedgeOpens in a new windowFree delivery$19.99$19.99Item price$19.99Shipping$0.00Est. taxEstimated Tax$0.00Total price$19.99Visit siteOpens in a new windowZabiva.comOpens in a new windowFree deliveryApply SAVE225% OFF$20.56$21.79Item price$20.56Shipping$0.00Est. taxEstimated Tax$1.23Total price$21.79Visit siteOpens in a new windowmyBitti.comOpens in a new windowFree delivery by Tue, May 17$23.49$24.90Item price$23.49Shipping$0.00Est. taxEstimated Tax$1.41Total price$24.90Visit siteOpens in a new windowReport a listingRelated items$34.61Saltworks Ultra Epsom Premium ...(38)$18.99Foot Cure Tea Tree Oil Foot ...$29.08Epsom Salt by Sky Organics (5 ...$23.27Westlab Bathing Salts - Recover ...(62)$24.00Vertly Bath Salts(32)$7.00Westlab Dead Sea Salt 1kg(279)$5.75Sweat Esthetic Feeling Relax ...(1)$3.99Epsoak Naturals Collection ...(20)$9.00Lord Jones Single-Serve Formula ...(100)$21.11Tea Tree Oil Foot Soak with ...Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div,113.0,,,,,,,,,,,,,,,dPIF2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,DIV,84.0,DIV.dPIF2d,Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces(4),959.0,38.0,//*[@id='sg-product__pdp-container']/div/div[1],113.0,,,,,,,,,,,,,,,lBRvsb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,7,A,48.0,DIV.lBRvsb,,48.0,38.0,//*[@id='sg-product__pdp-container']/div/div[1]/a,114.5,,,,/shopping/product/7122385092484492284?prds=rsk:PC_13925009831956330067,,,,,,,,,,,,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QyJ0ECBg,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
