,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.data-container-id,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
14,9,DIV,0.0,DIV.Z8Diy.sh-hm__drawer,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelp,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1],0.0,,,,,,,,,,,,,,,lC3Nyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,DIV,0.0,DIV.lC3Nyd,Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[1],0.0,,,,,,,,,,,,,,,tye1ob,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q99MDCAM,Close the menu,,button,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,A,0.0,DIV.tye1ob,Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[1]/a,0.0,,,,https://shopping.google.com/u/0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,DIV,0.0,A,Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[1]/a/div,0.0,,,,,,,,,,,,,,,Y6VDGc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13,IMG,0.0,DIV.Y6VDGc,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[1]/a/div/img,0.0,,,1652158186847,,,,,,,,,,,,G4kT1b,,,,,,Google Shopping,0,0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI3NCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDc0IDI0Ij48cGF0aCBmaWxsPSIjNDI4NUY0IiBkPSJNOS4yNCA4LjE5djIuNDZoNS44OGMtLjE4IDEuMzgtLjY0IDIuMzktMS4zNCAzLjEtLjg2Ljg2LTIuMiAxLjgtNC41NCAxLjgtMy42MiAwLTYuNDUtMi45Mi02LjQ1LTYuNTRzMi44My02LjU0IDYuNDUtNi41NGMxLjk1IDAgMy4zOC43NyA0LjQzIDEuNzZMMTUuNCAyLjVDMTMuOTQgMS4wOCAxMS45OCAwIDkuMjQgMCA0LjI4IDAgLjExIDQuMDQuMTEgOXM0LjE3IDkgOS4xMyA5YzIuNjggMCA0LjctLjg4IDYuMjgtMi41MiAxLjYyLTEuNjIgMi4xMy0zLjkxIDIuMTMtNS43NSAwLS41Ny0uMDQtMS4xLS4xMy0xLjU0SDkuMjR6Ii8+PHBhdGggZmlsbD0iI0VBNDMzNSIgZD0iTTI1IDYuMTljLTMuMjEgMC01LjgzIDIuNDQtNS44MyA1LjgxIDAgMy4zNCAyLjYyIDUuODEgNS44MyA1LjgxczUuODMtMi40NiA1LjgzLTUuODFjMC0zLjM3LTIuNjItNS44MS01LjgzLTUuODF6bTAgOS4zM2MtMS43NiAwLTMuMjgtMS40NS0zLjI4LTMuNTIgMC0yLjA5IDEuNTItMy41MiAzLjI4LTMuNTJzMy4yOCAxLjQzIDMuMjggMy41MmMwIDIuMDctMS41MiAzLjUyLTMuMjggMy41MnoiLz48cGF0aCBmaWxsPSIjNDI4NUY0IiBkPSJNNTMuNTggNy40OWgtLjA5Yy0uNTctLjY4LTEuNjctMS4zLTMuMDYtMS4zQzQ3LjUzIDYuMTkgNDUgOC43MiA0NSAxMmMwIDMuMjYgMi41MyA1LjgxIDUuNDMgNS44MSAxLjM5IDAgMi40OS0uNjIgMy4wNi0xLjMyaC4wOXYuODFjMCAyLjIyLTEuMTkgMy40MS0zLjEgMy40MS0xLjU2IDAtMi41My0xLjEyLTIuOTMtMi4wN2wtMi4yMi45MmMuNjQgMS41NCAyLjMzIDMuNDMgNS4xNSAzLjQzIDIuOTkgMCA1LjUyLTEuNzYgNS41Mi02LjA1VjYuNDloLTIuNDJ2MXptLTIuOTMgOC4wM2MtMS43NiAwLTMuMS0xLjUtMy4xLTMuNTIgMC0yLjA1IDEuMzQtMy41MiAzLjEtMy41MiAxLjc0IDAgMy4xIDEuNSAzLjEgMy41NC4wMSAyLjAzLTEuMzYgMy41LTMuMSAzLjV6Ii8+PHBhdGggZmlsbD0iI0ZCQkMwNSIgZD0iTTM4IDYuMTljLTMuMjEgMC01LjgzIDIuNDQtNS44MyA1LjgxIDAgMy4zNCAyLjYyIDUuODEgNS44MyA1LjgxczUuODMtMi40NiA1LjgzLTUuODFjMC0zLjM3LTIuNjItNS44MS01LjgzLTUuODF6bTAgOS4zM2MtMS43NiAwLTMuMjgtMS40NS0zLjI4LTMuNTIgMC0yLjA5IDEuNTItMy41MiAzLjI4LTMuNTJzMy4yOCAxLjQzIDMuMjggMy41MmMwIDIuMDctMS41MiAzLjUyLTMuMjggMy41MnoiLz48cGF0aCBmaWxsPSIjMzRBODUzIiBkPSJNNTggLjI0aDIuNTF2MTcuNTdINTh6Ii8+PHBhdGggZmlsbD0iI0VBNDMzNSIgZD0iTTY4LjI2IDE1LjUyYy0xLjMgMC0yLjIyLS41OS0yLjgyLTEuNzZsNy43Ny0zLjIxLS4yNi0uNjZjLS40OC0xLjMtMS45Ni0zLjctNC45Ny0zLjctMi45OSAwLTUuNDggMi4zNS01LjQ4IDUuODEgMCAzLjI2IDIuNDYgNS44MSA1Ljc2IDUuODEgMi42NiAwIDQuMi0xLjYzIDQuODQtMi41N2wtMS45OC0xLjMyYy0uNjYuOTYtMS41NiAxLjYtMi44NiAxLjZ6bS0uMTgtNy4xNWMxLjAzIDAgMS45MS41MyAyLjIgMS4yOGwtNS4yNSAyLjE3YzAtMi40NCAxLjczLTMuNDUgMy4wNS0zLjQ1eiIvPjwvc3ZnPg==",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13,SPAN,0.0,DIV.Y6VDGc,Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[1]/a/div/span,0.0,,,,,,,,,,,,,,,rprnAe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,DIV,0.0,DIV.lC3Nyd,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[2],0.0,,,,,,,,,,,,,,,gztsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,DIV,0.0,DIV.lC3Nyd,HomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelp,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,A,0.0,DIV,Home,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[1],0.0,,,,https://shopping.google.com/u/0/?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q-9MDCAQoAA,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[1]/span[1],0.0,,,,,,,,,,,,,,,sucUyb Scz0Hd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
