Index,Fields,Values
2.16.2,Price,$19.00
2.17.2,Price,$18.00
2.18.2,Price,$32.00
2.19.2,Price,$28.00
2.20.2,Price,$10.00
2.21.2,Price,$31.50
2.22.2,Price,$38.00
2.23.2,Price,$13.99
2.24.2,Price,$28.00
2.25.2,Price,$30.00
2.26.2,Price,$29.00
2.27.2,Price,$7.00
2.28.2,Price,$30.00
2.29.2,Price,$20.00
2.30.2,Price,$29.00
2.31.2,Price,$14.00
2.32.2,Price,$14.00
2.33.2,Price,N/A
2.34.2,Price,N/A
2.35.2,Price,N/A
2.36.2,Price,N/A
2.37.2,Price,N/A
2.38.2,Price,N/A
2.39.2,Price,N/A
2.1.3,Rating,Rated 4.5 out of 5
2.2.3,Rating,Rated 4.5 out of 5
2.3.3,Rating,Rated 4.7 out of 5
2.4.3,Rating,Rated 4.2 out of 5
2.5.3,Rating,Rated 4.7 out of 5
2.6.3,Rating,Rated 4.4 out of 5
2.7.3,Rating,Rated 4.6 out of 5
2.8.3,Rating,Rated 4.6 out of 5
2.9.3,Rating,Rated 4.3 out of 5
2.10.3,Rating,Rated 4.3 out of 5
2.11.3,Rating,Rated 4.4 out of 5
2.12.3,Rating,Rated 4.5 out of 5
2.13.3,Rating,Rated 4.6 out of 5
2.14.3,Rating,Rated 4.5 out of 5
2.15.3,Rating,Rated 4.6 out of 5
2.16.3,Rating,Rated 4.4 out of 5
2.17.3,Rating,Rated 4.1 out of 5
2.18.3,Rating,Rated 3.9 out of 5
2.19.3,Rating,Rated 4.5 out of 5
2.20.3,Rating,Rated 4.5 out of 5
2.21.3,Rating,Rated 4.5 out of 5
2.22.3,Rating,Rated 4.5 out of 5
2.23.3,Rating,Rated 4.3 out of 5
2.24.3,Rating,Rated 4.3 out of 5
2.25.3,Rating,Rated 4.5 out of 5
2.26.3,Rating,Rated 4.6 out of 5
2.27.3,Rating,Rated 4.4 out of 5
2.28.3,Rating,Rated 4.4 out of 5
2.29.3,Rating,Rated 4.6 out of 5
2.30.3,Rating,Rated 4.4 out of 5
2.31.3,Rating,Rated 4.5 out of 5
2.32.3,Rating,Rated 4.5 out of 5
2.33.3,Rating,N/A
2.34.3,Rating,N/A
2.35.3,Rating,N/A
2.36.3,Rating,N/A
2.37.3,Rating,N/A
2.38.3,Rating,N/A
2.39.3,Rating,N/A
2.1.4,Rating Count,9k+
2.2.4,Rating Count,9k+
2.3.4,Rating Count,9k+
2.4.4,Rating Count,9k+
2.5.4,Rating Count,9k+
2.6.4,Rating Count,9k+
2.7.4,Rating Count,9k+
2.8.4,Rating Count,7k+
2.9.4,Rating Count,7k+
2.10.4,Rating Count,1k+
