Title,Link,Details
Lionel Messi - Wikipedia,https://en.wikipedia.org/wiki/Lionel_Messi,"24 minutes ago — Lionel Andrés Messi also known as Leo Messi, is an Argentine professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and ..."
Leo Messi (@leomessi) • Instagram photos and videos,https://www.instagram.com/leomessi/?hl=en,"335m Followers, 294 Following, 867 Posts - See Instagram photos and videos from Leo Messi (@leomessi)"
Lionel Messi - Player profile 21/22 | Transfermarkt,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,"#30 Lionel Messi ; Height: 1,70 m ; Position: Right Winger ; Current international: Argentina ; Appearances. 26 ; Goals. 6."
Lionel Messi 33 Crazy Dribbling Skills for PSG - YouTube,https://www.youtube.com/watch?v=W-SIYTANgmA,"#30 Lionel Messi ; Height: 1,70 m ; Position: Right Winger ; Current international: Argentina ; Appearances. 26 ; Goals. 6."
"Lionel Messi | Biography, Team, Barcelona, PSG, & Facts",https://www.britannica.com/biography/Lionel-Messi,"Lionel Messi, in full Lionel Andrés Messi, also called Leo Messi, (born June 24, 1987, Rosario, Argentina), Argentine-born football (soccer) player who was ..."
Lionel Messi - Official Website of FC Barcelona,https://www.fcbarcelona.com/en/football/first-team/players/4974/lionel-messi,My shirt. Forward. 30 Lionel Messi. Facebook Instagram Website. Barça Appearances. 778. 2021/2022 Season. 0. Barça Goals. 672. 2021/2022 Season.
Lionel Messi - Forbes,https://www.forbes.com/profile/lionel-messi/,1 Lionel Messi on the 2022 The World's Highest-Paid Athletes - Messi claimed the Ballon d'Or as the world's best soccer player for a record seventh time in ...
Web oficial Leo Messi jugador del PSG,https://messi.com/en/,"Web oficial de Lionel Messi, jugador del Futbol Club Barcelona hasta la temporada 2020-2021 y jugador del PSG en la temporada 2021-2022."
