File Name,Sold by,Details & special offers,Item price,Total price
39.json,Vitabath,Spend $65 for free delivery,LOW PRICE$20.55,$30.50
39.json,myBitti.com,"Free delivery by Tue, May 17",$22.99,$24.37
39.json,Raj Pharmacies,463.6 mi · In stock at RumsonToday: 9:00 AM - 7:00 PM,LOW PRICE$20.99,$20.99+Tax
39.json,truegether.com/user/433433.html,Free delivery,$26.45,$26.45
39.json,eCrater - xpertsedge,Free delivery,$26.99,$26.99
