Index,Fields,Values
21.1.1,Sold by,Vitabath
21.2.1,Sold by,Walmart - Euro Pharm
21.3.1,Sold by,PC Fallon Co.
21.4.1,Sold by,eBay - pharmacy1142
21.5.1,Sold by,eCrater - xpertsedge
21.6.1,Sold by,Groceryeshop
21.7.1,Sold by,VereTreasure Supermarket
21.8.1,Sold by,Zabiva.com
21.9.1,Sold by,goodholidayprice
21.1.2,Details & special offers,Spend $65 for free delivery
21.2.2,Details & special offers,Free delivery
21.3.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
21.4.2,Details & special offers,"Free delivery by Wed, May 18"
21.5.2,Details & special offers,Free delivery
21.6.2,Details & special offers,Free deliveryApply GET5OFF
21.7.2,Details & special offers,"Free delivery by Mon, May 16Free 30-day returns"
21.8.2,Details & special offers,Free deliveryApply SAVE22
21.9.2,Details & special offers,"Free delivery by Tue, May 17"
21.1.3,Item price,LOW PRICE$8.20
21.2.3,Item price,$11.99
21.3.3,Item price,LOW PRICE$7.50
21.4.3,Item price,$11.99
21.5.3,Item price,$12.99
21.6.3,Item price,5% OFF$24.00
21.7.3,Item price,$26.33
21.8.3,Item price,5% OFF$24.00
21.9.3,Item price,$28.43
21.1.4,Total price,$18.15
21.2.4,Total price,$12.71
21.3.4,Total price,$14.45
21.4.4,Total price,$12.71
21.5.4,Total price,$12.99
21.6.4,Total price,$25.44
21.7.4,Total price,$26.33
21.8.4,Total price,$25.44
21.9.4,Total price,$28.43
