File Name,Sold by,Details & special offers,Item price,Total price
2.json,PC Fallon Co.,"Delivery by Wed, May 25Spend $89 for free delivery","GREAT PICKThis product and store are highly rated, and the price is competitive.$28.05",$36.00
2.json,Walmart - Euro Pharm,Free delivery,$33.00,$34.98
2.json,eBay,"Free delivery by Wed, May 18",$28.89,$30.62
2.json,truegether.com/user/433433.html,Free delivery,$36.25,$36.25
2.json,Bonanza - Xperts-Bonanza Mall,Free delivery,$36.99,$39.21
