Index,Fields,Values
5.1.1,Sold by,Vitabath
5.2.1,Sold by,Walmart - Euro Pharm
5.3.1,Sold by,eBay
5.4.1,Sold by,myBitti.com
5.5.1,Sold by,DorothyShop
5.6.1,Sold by,MeekDepot
5.7.1,Sold by,Zabiva.com
5.8.1,Sold by,onnyxbeauty
5.9.1,Sold by,Oneway Beauty
5.1.2,Details & special offers,Spend $65 for free delivery
5.2.2,Details & special offers,Free delivery
5.3.2,Details & special offers,"Free delivery by Wed, May 18"
5.4.2,Details & special offers,"Free delivery by Tue, May 17"
5.5.2,Details & special offers,"$7.13 delivery by Mon, May 30Free 30-day returns"
5.6.2,Details & special offers,"Free delivery by Sun, May 22"
5.7.2,Details & special offers,Free deliveryApply SAVE22
5.8.2,Details & special offers,"Free delivery by Mon, May 23"
5.9.2,Details & special offers,"Free delivery by Sun, May 22"
5.1.3,Item price,LOW PRICE$20.55
5.2.3,Item price,$24.99
5.3.3,Item price,$24.99
5.4.3,Item price,$26.99
5.5.3,Item price,$28.50
5.6.3,Item price,$83.50
5.7.3,Item price,5% OFF$52.60
5.8.3,Item price,$77.93
5.9.3,Item price,$72.37
5.1.4,Total price,$30.50
5.2.4,Total price,$26.49
5.3.4,Total price,$26.49
5.4.4,Total price,$28.61
5.5.4,Total price,$39.90
5.6.4,Total price,$83.50
5.7.4,Total price,$55.76
5.8.4,Total price,$77.93
5.9.4,Total price,$72.37
