Index,Fields,Values
9.1.1,Sold by,Vitabath
9.2.1,Sold by,Walmart - Euro Pharm
9.3.1,Sold by,PC Fallon Co.
9.4.1,Sold by,eBay
9.5.1,Sold by,pilottop.com
9.6.1,Sold by,iBeautyCity.com
9.7.1,Sold by,ibeautistore
9.1.2,Details & special offers,Spend $65 for free delivery
9.2.2,Details & special offers,Free delivery
9.3.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
9.4.2,Details & special offers,"Free delivery by Wed, May 18"
9.5.2,Details & special offers,"Free delivery by Thu, May 19Free 30-day returns"
9.6.2,Details & special offers,"Free delivery by Sun, May 22"
9.7.2,Details & special offers,"Free delivery by Sun, May 22"
9.1.3,Item price,LOW PRICE$9.25
9.2.3,Item price,$11.99
9.3.3,Item price,LOW PRICE$8.99
9.4.3,Item price,$11.99
9.5.3,Item price,$22.06
9.6.3,Item price,$33.65
9.7.3,Item price,$22.06
9.1.4,Total price,$19.20
9.2.4,Total price,$12.71
9.3.4,Total price,$15.94
9.4.4,Total price,$12.71
9.5.4,Total price,$22.06
9.6.4,Total price,$33.65
9.7.4,Total price,$22.06
