File Name,Sold by,Details & special offers,Item price,Total price
13.json,Vitabath,Spend $65 for free delivery,LOW PRICE$9.25,$19.20
13.json,Walmart - Euro Pharm,Free delivery,$11.99,$12.71
13.json,PC Fallon Co.,"Delivery by Wed, May 25Spend $89 for free delivery",LOW PRICE$8.99,$15.94
13.json,eBay,"Free delivery by Wed, May 18",$11.99,$12.71
13.json,pilottop.com,"Free delivery by Thu, May 19Free 30-day returns",$22.06,$22.06
13.json,iBeautyCity.com,"Free delivery by Sun, May 22",$33.65,$33.65
13.json,ibeautistore,"Free delivery by Sun, May 22",$22.06,$22.06
