,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
430,14,A,17.0,DIV.Ghlgfc,Mrs. Meyer´s Clean Day Body ...,146.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/a[2],789.0,,,,"/shopping/product/16203207172848820382?prds=epd:14820516763617509572,oid:14820516763617509572,rsk:PC_18181093920415940923&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QrRIIWA",,,,,,,,,,,YTkbnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,15,DIV,17.0,A.YTkbnd,Mrs. Meyer´s Clean Day Body ...,146.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/a[2]/div,789.0,,,,,,,,,,,,,,,YmbeHb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,14,DIV,17.0,DIV.Ghlgfc,"(10,666)",146.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2],806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,15,DIV,12.0,DIV,,68.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/div,808.0,,,,,,,,,,,,,,,UzThIf,,4.5 out of 5 stars,,img,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,16,DIV,12.0,DIV.UzThIf,,68.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/div/div[1],808.0,,,,,,,,,,,,,,,YoSiqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,16,DIV,12.0,DIV.UzThIf,,62.0,1506.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/div/div[2],808.0,,,,,,,,,,,,,,width:62px,jmgV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,15,SPAN,15.0,DIV,"(10,666)",48.421875,1579.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/span,807.0,,,,,,,,,,,,,,,HiT7Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,16,A,15.0,SPAN.HiT7Id,"(10,666)",48.421875,1579.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/span/a,807.0,,,,/shopping/product/16203207172848820382?prds=rsk:PC_18181093920415940923&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QsBIIWQ#reviews,,,,,,,,,,,dxeoqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,17,SPAN,15.0,A.dxeoqc,"(10,666)",48.421875,1579.0,//*[@id='related']/div[2]/div/div/div/div/span[9]/div/div[2]/span/a/span,807.0,,,,,,,,,,,,,,,,,"10,666 product reviews",,link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,12,SPAN,205.0,DIV.oP6EC,"$8.99Every Man Jack Body Wash ...(1,065)",170.0,1678.0,//*[@id='related']/div[2]/div/div/div/div/span[10],632.0,,,,,,,,,,,,,,,xyjbB KQlKJf sh-dc__carousel-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,13,DIV,181.0,SPAN.xyjbB.KQlKJf.sh-dc__carousel-item,"$8.99Every Man Jack Body Wash ...(1,065)",146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div,644.0,,,,,,,,,,,,,,,Ghlgfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,14,A,120.0,DIV.Ghlgfc,,146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/a[1],644.0,,,,"/shopping/product/11359241050551289906?prds=epd:13846103115325224712,oid:13846103115325224712,rsk:PC_9336945473723853399&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QrhIIWw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,15,DIV,120.0,A,,120.0,1703.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/a[1]/div,644.0,,,,,,,,,,,,,,width:120px;height:120px,sh-img__image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,16,IMG,120.0,DIV.sh-img__image,,120.0,1703.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/a[1]/div/img,644.0,,,,,,,,,,,,,,,,,,,,,Every Man Jack Body Wash ...,8,0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTk-yqRs90t5U-aatIHEROvUHG3iuM7h2xTcczwGZraZsi_FmTdeRI4zDQFUUUY1z8IQYbIIAvbVYXoul9QTKqMcUnMFBlTdFXd33iCzr4rTEZhNINTLZsC&usqp=CAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
