Index,Fields,Values
24.1.41.1,Popular_Title,Tarte Limited Edition Maracuja Juicy Lip Gloss
24.1.42.1,Popular_Title,Limited-Edition Tarteist Lip Trio
24.1.43.1,Popular_Title,Tarte Lipstick Set
24.1.44.1,Popular_Title,Tarte Lipstick In Lolita (deep Pink Satin Color) Full Size Lipstick
24.1.45.1,Popular_Title,Tarte Lipstick Pyt Full Size Lipstick Rare
24.1.46.1,Popular_Title,Tarte Makeup | Tarte Lipstick Tangerine Target | Color: Tan | Size: Os | Glambarbiestore's Closet
24.1.47.1,Popular_Title,Tarte Makeup Pick 5 For 25 Tarte Tartiest Lip Paint
24.1.48.1,Popular_Title,Tarte Lipstick Set - Beauty | Color: Beige
24.1.49.1,Popular_Title,Tarte Sugar Rush Lip Sip Vegan Lip Balm
24.1.50.1,Popular_Title,Tarte Lip Paint - New Beauty
24.1.51.1,Popular_Title,Tarte Amazonian Butter Lipstick Full Size Choose Your Shade 3.1g /
24.1.52.1,Popular_Title,Tarte Lip Sculptor Lipstick & Lipgloss
24.1.53.1,Popular_Title,Tarte Lipstick In Lusty (purple Satin Color) Full Size Lipstick Rare
24.1.54.1,Popular_Title,"Tarte Lipstick Berry ,100% Authentic"
24.1.55.1,Popular_Title,Tarte Lipstick - Beauty | Color: Red
24.1.56.1,Popular_Title,Tarte Lipstick - New Beauty | Color: Red
24.1.57.1,Popular_Title,Tarte Color Splash Lipstick - New Beauty
24.1.58.1,Popular_Title,"Tarte High Performance Creamy Lipstick In Mauve, Berry Or Poppy Full"
24.1.59.1,Popular_Title,Tarte The Lip Architect Lipstick & Liner - Cutie Pie - New Beauty
24.1.60.1,Popular_Title,Tarte Sugar Rush Matte Liquid Lipstick - New Beauty
24.1.61.1,Popular_Title,Tarte Tarteist Lip Paint In Box Size 0.20oz Select Your Shade
24.1.62.1,Popular_Title,Tarte Lipstick - Beauty
24.1.63.1,Popular_Title,Tarte Mini Sugar Rush Sugar Coat Matte Liquid Lipstick In Sprinkle
24.1.64.1,Popular_Title,Tarte COLOR SPLASH LIPSTICK - Beauty | Color: Pink
24.1.65.1,Popular_Title,Tarte NEW Tarte Rainforest Of The Sea Lipstick - New Beauty
